gene1,gene2,score
CA2,CLCN7,0.806
CA2,CBSL,0.819
CA2,CBS,0.819
CA2,CA1,0.833
CA2,SLC4A4,0.893
CBS,CBSL,0.9
CYP24A1,ALB,0.437
CYP24A1,CA5A,0.849
CYP24A1,CA5B,0.875
TG,CA5A,0.523
TG,CA5B,0.54
TG,RNASE1,0.683
TG,FTH1,0.707
TG,ALB,0.912
FTH1,RNASE1,0.473
FTH1,CA5A,0.498
FTH1,CA5B,0.514
FTH1,ALB,0.72
NAGS,CA5A,0.478
ALB,CA5B,0.556
ALB,CA5A,0.582
ALB,RNASE1,0.772
CA5B,RNASE1,0.533
CA5B,RPF2,0.561
CA5B,CA5A,0.734
CD2,CA5A,0.499
KRT35,CA5A,0.555
RNASE1,CA5A,0.513
RPF2,CA5A,0.561
CYP24A1,CA8,0.876
TG,CA8,0.545
HSD17B14,CA8,0.593
ALB,ANXA8,0.713
ALB,CA8,0.732
ITPR1,CA8,0.946
ITPR1,AHCYL1,0.965
CA8,ANXA8,0.526
CA8,RNASE1,0.543
CA8,RPF2,0.561
CA8,AHCYL1,0.634
CA8,VLDLR,0.865
OTOF,CABP2,0.517
OTOF,OTOG,0.672
OTOF,STRC,0.722
OTOF,CACNA1D,0.908
CACNA1D,S100G,0.49
CACNA1D,CABP2,0.604
CACNA1D,CACNA1F,0.98
CABP2,GRXCR2,0.478
CABP2,SMOC2,0.487
CABP2,AVPR2,0.49
CABP2,OTOG,0.52
CABP2,STRC,0.528
CABP2,GRK5,0.621
CABP2,CACNA1F,0.669
CABP2,S100G,0.767
CACNA1F,S100G,0.709
GRXCR2,OTOG,0.484
GRXCR2,STRC,0.687
GRK5,AVPR2,0.456
OTOG,STRC,0.972
SLC24A1,GRM6,0.489
SLC24A1,NYX,0.554
SLC24A1,CACNA1F,0.563
SLC24A1,GPR179,0.573
SLC24A1,LRIT3,0.666
SLC24A1,CABP4,0.704
CACNA1D,CABP4,0.738
CACNA1D,CTBP2,0.751
CTBP2,GRM6,0.475
CTBP2,CABP4,0.708
CTBP2,CACNA1F,0.821
CABP4,S100A6,0.705
CABP4,GPR179,0.73
CABP4,LRIT3,0.796
CABP4,GRM6,0.819
CABP4,NYX,0.848
CABP4,S100G,0.869
CABP4,CACNA1F,0.986
NYX,LRIT3,0.617
NYX,GPR179,0.818
NYX,GRM6,0.959
NYX,CACNA1F,0.965
S100A6,S100G,0.54
S100A6,CACNA1F,0.545
CACNA1F,GPR179,0.604
CACNA1F,GRM6,0.734
CACNA1F,LRIT3,0.781
LRIT3,GRM6,0.723
LRIT3,GPR179,0.773
GPR179,GRM6,0.713
PRKCG,CACNA2D1,0.419
PRKCG,ATXN7,0.78
PRKCG,ATXN7-2,0.78
PRKCG,CACNA1C,0.916
PRKCG,CACNA1A,0.98
CACNA1C,CACNA1E,0.653
CACNA1C,CACNA1A,0.952
CACNA1C,CACNB4,0.97
CACNA1C,CACNA2D2,0.982
CACNA1C,CACNA2D1,0.998
CACNA1C,CACNB2,0.999
CACNA1C,CALM3,0.999
CALM3,CACNB4,0.463
CALM3,CACNA1E,0.971
CALM3,CACNA1A,0.977
CACNB2,CACNA1E,0.833
CACNB2,CACNB4,0.891
CACNB2,CACNA1A,0.955
CACNB2,CACNA2D2,0.99
CACNB2,CACNA2D1,0.995
CACNA2D1,CACNA2D2,0.741
CACNA2D1,CACNA1A,0.951
CACNA2D1,CACNB4,0.983
CACNA2D1,CACNA1E,0.99
CACNA1E,CACNB4,0.816
CACNA1E,CACNA1A,0.95
CACNA1E,CACNA2D2,0.97
CACNA2D2,CACNB4,0.96
CACNA2D2,CACNA1A,0.982
CACNB4,CACNA1A,0.995
STX1A,CACNA2D2,0.427
STX1A,CACNA2D1,0.468
STX1A,CACNB3,0.49
STX1A,CALM3,0.526
STX1A,CACNA1A,0.774
STX1A,CACNA1B,0.99
CALM3,CALM1,0.931
CALM3,CALM2,0.959
CALM3,CACNA1B,0.978
CACNB3,CACNA1A,0.853
CACNB3,CACNA2D2,0.869
CACNB3,CACNB1,0.937
CACNB3,CACNA1E,0.982
CACNB3,CACNA2D1,0.995
CACNB3,CACNA1B,0.998
CACNA2D1,CALM1,0.626
CACNA2D1,CALM2,0.635
CACNA2D1,CACNA1B,0.991
CACNA2D1,CACNB1,0.999
CACNA1E,CACNB1,0.882
CACNA1E,CALM2,0.929
CACNA1E,CALM1,0.932
CACNA1E,CACNA1B,0.956
CACNA1B,CALM2,0.93
CACNA1B,CACNA2D2,0.931
CACNA1B,CALM1,0.936
CACNA1B,CACNA1A,0.945
CACNA1B,CACNB1,0.982
CACNB1,CACNA1A,0.919
CACNB1,CACNA2D2,0.947
CACNA1A,CALM1,0.937
CACNA1A,CALM2,0.938
CALM1,CALM2,0.939
CACNA1C,CACNA2D4,0.984
CACNA1C,CACNB1,0.988
CACNA1C,CACNB3,0.997
CACNA1C,CALML3,0.999
CACNA1C,CALML6,0.999
CACNA1C,CALML5,0.999
CACNA1C,CALML4,0.999
CACNB3,CACNB2,0.961
CACNB3,CACNA2D4,0.99
CACNB2,CACNB1,0.942
CACNB2,CACNA2D4,0.948
CACNA2D1,CACNA2D4,0.928
CACNA2D4,CACNB1,0.93
CACNG1,CACNB2,0.897
CACNG1,CACNB3,0.9
CACNG1,CACNG4,0.986
CACNG1,CACNA1D,0.995
CACNG1,CACNB1,0.997
CACNG1,CACNA2D1,0.998
CACNG4,CACNB2,0.793
CACNG4,CACNB1,0.928
CACNG4,CACNB3,0.962
CACNG4,CACNA2D1,0.972
CACNG4,CACNA1D,0.986
CACNA1D,CALML6,0.985
CACNA1D,CACNB1,0.99
CACNA1D,CALML5,0.99
CACNA1D,CACNB3,0.997
CACNA1D,CACNB2,0.997
CACNA1D,CACNA2D1,0.999
CACNG4,CACNA1A,0.662
CACNG4,CACNA1B,0.822
CACNG4,CACNA2D2,0.837
CACNG4,CACNA1E,0.933
CALM3,INS,0.77
CACNB3,INS,0.431
CACNA1E,INS,0.919
CACNA1B,INS,0.919
INS,CACNA2D2,0.441
INS,CACNA1A,0.926
CACNA1C,CABP4,0.422
CACNA1C,CACNA1F,0.978
CACNA1C,CACNA1D,0.981
CACNA1C,CACNA1S,0.982
CACNA1D,CACNB4,0.965
CACNA1D,CACNA2D4,0.971
CACNA1D,CACNA1S,0.975
CACNB3,CACNA1S,0.963
CACNB3,CACNB4,0.964
CACNB3,CACNA1F,0.973
CACNB2,CACNA1F,0.973
CACNB2,CACNA1S,0.987
CABP4,CACNA2D4,0.693
NYX,CACNA2D4,0.585
CACNA2D1,CACNA1F,0.987
CACNA2D1,CACNA1S,0.999
CACNA1S,CACNA2D4,0.959
CACNA1S,CACNB4,0.968
CACNA1S,CACNA1F,0.988
CACNA1F,CACNB4,0.965
CACNA1F,CACNA2D4,0.98
CACNA2D4,CACNB4,0.961
TRPC5,CALML6,0.815
TRPC5,CALML4,0.815
TRPC5,CALM3,0.847
TRPC5,CALML3,0.847
TRPC5,CALML5,0.847
TRPC5,CACNA1H,0.924
TRPC5,CACNA1I,0.925
TRPC5,CACNA1G,0.931
TRPC5,TRPC4,0.997
TRPC5,TRPC1,0.999
CALM3,TRPC4,0.64
CALM3,TRPC1,0.764
CALM3,CACNA1I,0.94
CALM3,CACNA1H,0.957
CALM3,CACNA1G,0.98
CALML6,TRPC4,0.562
CALML6,TRPC1,0.762
CALML6,CACNA1I,0.936
CALML6,CACNA1H,0.94
CALML6,CACNA1G,0.979
CALML3,TRPC4,0.639
CALML3,TRPC1,0.763
CALML3,CACNA1I,0.938
CALML3,CACNA1H,0.943
CALML3,CACNA1G,0.98
CACNA1H,TRPC4,0.924
CACNA1H,TRPC1,0.937
CACNA1H,CALML4,0.941
CACNA1H,CALML5,0.943
CACNA1H,CACNA1G,0.944
CACNA1H,CACNA1I,0.979
CACNA1G,TRPC4,0.925
CACNA1G,TRPC1,0.934
CACNA1G,CACNA1I,0.963
CACNA1G,CALML4,0.979
CACNA1G,CALML5,0.979
CALML5,TRPC4,0.639
CALML5,TRPC1,0.763
CALML5,CACNA1I,0.938
CACNA1I,TRPC1,0.923
CACNA1I,TRPC4,0.924
CACNA1I,CALML4,0.936
CALML4,TRPC4,0.562
CALML4,TRPC1,0.762
TRPC1,TRPC4,0.999
CACNG1,STAC3,0.767
CACNG1,RYR1,0.869
CACNG1,CACNA1F,0.932
CACNG1,CACNA1C,0.95
CACNG1,CACNA1S,0.997
CACNA1C,STAC3,0.853
CACNA1C,RYR1,0.945
CACNA1D,STAC3,0.81
CACNA1D,RYR1,0.865
CALM3,CACNA1F,0.897
CALM3,CACNA1S,0.99
CACNB2,RYR1,0.759
CACNB2,STAC3,0.76
STAC3,CACNB1,0.746
STAC3,CACNA2D1,0.763
STAC3,CACNA1F,0.804
STAC3,RYR1,0.961
STAC3,CACNA1S,0.973
CACNA2D1,RYR1,0.929
RYR1,CACNB1,0.746
RYR1,CACNA1F,0.822
RYR1,CACNA1S,0.997
CACNA1S,CACNB1,0.995
CACNA1F,CACNB1,0.886
CACNG1,CACNA1E,0.856
CACNG1,CACNA1B,0.875
CACNA1C,CACNA1B,0.756
CACNA1D,CACNA1B,0.772
CACNA1D,CACNA1E,0.787
CACNB2,CACNA1B,0.911
CACNA1S,CACNA1E,0.637
CACNA1S,CACNA1B,0.638
CACNA1E,CACNA1F,0.636
CACNA1B,CACNA1F,0.63
CACNG1,CACNA1G,0.78
CACNG1,CACNA1A,0.886
CACNG1,CACNB4,0.935
CACNG1,CACNA2D2,0.981
CACNA1C,CACNA1G,0.846
CACNA1D,CACNA1A,0.673
CACNA1D,CACNA1G,0.852
CACNA1D,CACNA2D2,0.971
CACNB2,CACNA1G,0.766
CACNA1G,CACNB4,0.739
CACNA1G,CACNA1A,0.778
CACNA1G,CACNB1,0.779
CACNA1G,CACNA1B,0.853
CACNA1G,CACNA1E,0.863
CACNA1G,CACNA2D2,0.877
CACNA1B,CACNB4,0.885
CACNB1,CACNB4,0.577
CACNG1,CACNA2D4,0.962
CACNG4,CACNA1S,0.918
CACNG4,CACNA1F,0.93
CACNG4,CACNB4,0.934
CACNG4,CACNA2D4,0.937
CACNG4,CACNA1C,0.953
CACNA1S,CACNA1A,0.639
CACNA1F,CACNA1A,0.634
CACNA2D4,CACNA1A,0.932
CACNA1S,CACNA2D2,0.861
CACNA1F,CACNA2D2,0.854
CACNA2D4,CACNA2D2,0.661
CACNG3,CACNA2D2,0.67
CACNG3,CACNA1A,0.815
CACNG3,CACNA1C,0.91
CACNG3,CACNA2D4,0.915
CACNG3,CACNA1S,0.916
CACNG3,CACNA1F,0.927
CACNG3,CACNB3,0.938
CACNG3,CACNA1D,0.957
CACNG3,CACNB4,0.958
CACNG3,CACNA2D1,0.978
CACNG1,CACNG2,0.962
ADAM22,DLG1,0.554
GRIA4,DLG1,0.828
GRIA4,DLG4,0.829
GRIA4,SHISA9,0.919
GRIA4,CACNG2,0.975
GRIA4,GRIA3,0.997
GRIA4,GRIA1,0.997
GRIA4,GRIA2,0.999
GRIA2,DLG1,0.809
GRIA2,SHISA9,0.855
GRIA2,DLG4,0.968
GRIA2,CACNG2,0.995
GRIA2,GRIA1,0.999
GRIA2,GRIA3,0.999
CACNG2,DLG1,0.941
CACNG2,CACNB4,0.951
CACNG2,SHISA9,0.973
CACNG2,GRIA3,0.984
CACNG2,GRIA1,0.999
DLG1,GRIA3,0.697
DLG1,DLG4,0.956
DLG1,GRIA1,0.999
GRIA1,CACNB4,0.45
GRIA1,SHISA9,0.984
GRIA1,DLG4,0.994
GRIA1,GRIA3,0.999
SHISA9,GRIA3,0.824
SHISA9,DLG4,0.858
GRIA3,DLG4,0.873
OTC,UMPS,0.499
OTC,GLUL,0.596
DHODH,ADSS1,0.528
DHODH,ADSS2,0.598
DHODH,PPAT,0.711
DHODH,CAD,0.994
DHODH,UMPS,0.999
UMPS,GLUL,0.402
UMPS,ASS1,0.473
UMPS,ADSS1,0.552
UMPS,ADSS2,0.715
UMPS,PPAT,0.783
UMPS,CAD,0.946
PPAT,ASS1,0.497
PPAT,ASNS,0.642
PPAT,GFPT1,0.941
PPAT,GLUL,0.973
PPAT,CAD,0.991
CAD,GFPT1,0.949
CAD,ADSS1,0.954
CAD,GLUL,0.967
GLUL,ADSS2,0.45
GLUL,ASS1,0.677
GLUL,GFPT1,0.965
ADSS1,ASNS,0.926
ADSS1,ASS1,0.95
GFPT1,ASS1,0.4
GFPT1,ADSS2,0.403
GFPT1,ASNS,0.587
CADM4,AFDN,0.4
CADM4,CADM2,0.5
CADM4,DLG3,0.523
CADM4,MPP3,0.538
CADM4,CADM3,0.862
CADM4,MPP6,0.888
MPP6,MPP3,0.467
MPP6,AFDN,0.58
MPP6,DLG3,0.584
MPP6,NECTIN1,0.629
MPP6,NECTIN3,0.718
MPP6,CADM3,0.878
MPP6,CADM1,0.902
NECTIN1,DLG3,0.522
NECTIN1,CADM1,0.611
NECTIN1,MPP3,0.634
NECTIN1,CADM3,0.957
NECTIN1,NECTIN3,0.997
NECTIN1,AFDN,0.999
CADM1,AFDN,0.487
CADM1,DLG3,0.787
CADM1,CADM2,0.825
CADM1,MPP3,0.925
CADM1,CADM3,0.949
CADM1,NECTIN3,0.96
AFDN,MPP3,0.579
AFDN,CADM3,0.62
AFDN,NECTIN3,0.999
ACKR1,CADM3,0.599
CADM3,CADM2,0.631
CADM3,DLG3,0.802
CADM3,MPP3,0.854
CADM3,NECTIN3,0.935
DLG3,NECTIN3,0.601
MPP3,NECTIN3,0.632
IAPP,ADM2,0.824
IAPP,GNAS,0.902
IAPP,CALCA,0.986
IAPP,CALCRL,0.993
IAPP,ADM,0.994
IAPP,CALCB,0.994
IAPP,RAMP2,0.996
IAPP,RAMP3,0.998
IAPP,RAMP1,0.998
RAMP3,CRCP,0.417
RAMP3,RAMP1,0.964
RAMP3,GNAS,0.979
RAMP3,CALCA,0.986
RAMP3,RAMP2,0.991
RAMP3,CALCB,0.993
RAMP3,ADM2,0.994
RAMP3,ADM,0.999
RAMP3,CALCRL,0.999
RAMP2,CRCP,0.413
RAMP2,ADM2,0.924
RAMP2,RAMP1,0.963
RAMP2,CALCB,0.99
RAMP2,GNAS,0.99
RAMP2,CALCA,0.998
RAMP2,CALCRL,0.999
RAMP2,ADM,0.999
RAMP1,ADM2,0.951
RAMP1,GNAS,0.98
RAMP1,CRCP,0.981
RAMP1,ADM,0.998
RAMP1,CALCA,0.998
RAMP1,CALCRL,0.999
RAMP1,CALCB,0.999
CALCA,ADM2,0.637
CALCA,GNAS,0.964
CALCA,CALCB,0.973
CALCA,ADM,0.982
CALCA,CALCRL,0.999
GNAS,CALCB,0.895
GNAS,ADM2,0.897
GNAS,ADM,0.898
GNAS,CALCRL,0.993
CALCRL,CRCP,0.985
CALCRL,ADM,0.999
CALCRL,ADM2,0.999
CALCRL,CALCB,0.999
CRCP,CALCB,0.445
CRCP,ADM,0.819
ADM2,CALCB,0.794
ADM2,ADM,0.925
CALCB,ADM,0.991
CAMK1,PPP3CA,0.473
CAMK1,NOS3,0.936
CAMK1,CALM1,0.982
ITPKA,CAMK2A,0.545
ITPKA,CALM1,0.991
CACNA1C,SCN5A,0.592
CACNA1C,DLG4,0.65
CACNA1C,CAMK2B,0.781
CACNA1C,CAMK2A,0.863
CACNA1C,PPP3CA,0.926
CACNA1C,CALM1,0.981
NOS3,CAMK2B,0.902
NOS3,CAMK2A,0.93
NOS3,CALM1,0.991
SCN5A,CAMK2A,0.919
SCN5A,CAMK2B,0.92
SCN5A,CALM1,0.986
MYLK,CALM1,0.992
PPP3CA,CAMK2A,0.625
PPP3CA,CALM1,0.986
CAMK2B,DLG4,0.831
CAMK2B,CALM1,0.993
CAMK2B,CAMK2A,0.999
DLG4,CAMK2A,0.92
DLG4,CALM1,0.981
CALM1,CAMK2A,0.991
KCNQ1,KCNN2,0.457
KCNQ1,RYR2,0.727
KCNQ1,CACNA1C,0.791
KCNQ1,CALM2,0.97
KCNQ1,SCN5A,0.973
CAMK1,KCNN2,0.561
CAMK1,CALM2,0.969
KCNN2,SCN5A,0.433
KCNN2,CACNA1C,0.67
KCNN2,CALM2,0.982
CACNA1C,CAMK2D,0.437
CACNA1C,CALM2,0.97
CACNA1C,RYR2,0.981
SCN5A,CAMK2D,0.527
SCN5A,RYR2,0.887
SCN5A,CALM2,0.966
RYR2,CAMK2D,0.804
RYR2,CAMK2B,0.925
RYR2,CALM2,0.973
NOX5,CALM2,0.968
CAMK2B,CALM2,0.969
CAMK2B,CAMK2D,0.994
CAMK2D,CALM2,0.969
DAPK2,CALM2,0.97
KCNQ1,CALM3,0.999
CALM3,NOS3,0.999
CALM3,PPP3CA,0.999
CALM3,CAMKK2,0.999
CALM3,NOS2,0.999
CALM3,SCN5A,0.999
CALM3,MYLK,0.999
NOS3,RYR1,0.425
NOS3,RYR2,0.561
CAMKK2,RYR1,0.443
NOS2,RYR1,0.419
SCN5A,RYR1,0.531
LRP1,CANX,0.442
LRP1,PDIA3,0.538
LRP1,THBS1,0.958
LRP1,HSP90B1,0.996
LRP1,CALR,0.998
CANX,HLA-A,0.736
CANX,B2M,0.853
CANX,P4HB,0.966
CANX,HSP90B1,0.99
CANX,TAPBP,0.996
CANX,HSPA5,0.998
CANX,PDIA3,0.999
CANX,CALR,0.999
THBS1,CALR,0.988
HSP90B1,P4HB,0.983
HSP90B1,PDIA3,0.985
HSP90B1,CALR,0.999
PDIA3,P4HB,0.817
PDIA3,HLA-A,0.993
PDIA3,TAPBP,0.999
PDIA3,HSPA5,0.999
CALR,P4HB,0.994
CALR,HSPA5,0.995
CALR,HLA-A,0.997
CALR,TAPBP,0.999
HSPA5,HLA-A,0.544
HSPA5,B2M,0.648
HSPA5,TAPBP,0.783
HSPA5,P4HB,0.996
P4HB,B2M,0.509
P4HB,TAPBP,0.548
HLA-A,TAPBP,0.998
TAPBP,B2M,0.999
CALM3,GRIA1,0.583
CALM3,GRIN2B,0.91
CALM3,CAMK2D,0.991
CALM3,CAMK2A,0.999
CALM3,CAMK2B,0.999
CALML6,GRIA1,0.581
CALML6,CAMK2D,0.674
CALML6,GRIN2B,0.926
CALML6,CAMK2B,0.983
CALML6,CAMK2A,0.999
LRRC7,CAMK2D,0.455
LRRC7,GRIA1,0.731
LRRC7,GRIN2B,0.756
LRRC7,CAMK2B,0.792
LRRC7,CAMK2A,0.995
CALML3,GRIA1,0.581
CALML3,CAMK2D,0.777
CALML3,GRIN2B,0.927
CALML3,CAMK2B,0.988
CALML3,CAMK2A,0.999
CALML5,GRIA1,0.581
CALML5,CAMK2D,0.776
CALML5,GRIN2B,0.927
CALML5,CAMK2B,0.988
CALML5,CAMK2A,0.999
CAMK2B,GRIN2B,0.883
CAMK2B,GRIA1,0.955
CAMK2B,CALML4,0.983
CALML4,GRIA1,0.586
CALML4,CAMK2D,0.679
CALML4,GRIN2B,0.926
CALML4,CAMK2A,0.999
CAMK2D,GRIA1,0.592
CAMK2D,GRIN2B,0.704
CAMK2D,CAMK2A,0.996
GRIA1,GRIN2B,0.934
GRIA1,CAMK2A,0.999
GRIN2B,CAMK2A,0.999
CALML6,CALM2,0.489
CALML3,CALM2,0.571
CALML5,CALM2,0.5
CALML4,CALM2,0.497
CAMK2D,CALM1,0.98
GRIA1,CALM1,0.542
CALM2,CAMK2A,0.962
CALM3,CAMK2G,0.993
CALML6,CAMK2G,0.982
CALML3,CAMK2G,0.986
CAMK2G,GRIN2B,0.927
CAMK2G,CALM1,0.933
CAMK2G,CAMK2B,0.94
CAMK2G,CAMK2A,0.945
CAMK2G,CAMK2D,0.964
CAMK2G,CALML4,0.984
CAMK2G,CALML5,0.985
GRIN2B,CALM1,0.505
SGTA,CAMLG,0.839
SGTA,GET1,0.893
SGTA,GET3,0.976
SGTA,GET4,0.999
SGTA,UBL4A,0.999
TNFRSF13B,CAMLG,0.998
TNFRSF13B,TNFSF13B,0.999
GET4,CAMLG,0.888
GET4,GET1,0.958
GET4,UBL4A,0.999
GET4,GET3,0.999
CAMLG,TNFSF13B,0.792
CAMLG,PKHD1,0.796
CAMLG,AGTRAP,0.843
CAMLG,UBL4A,0.862
CAMLG,PPIB,0.969
CAMLG,GET1,0.999
CAMLG,GET3,0.999
PPIB,AGTRAP,0.466
UBL4A,GET1,0.907
UBL4A,GET3,0.999
GET3,GET1,0.999
CAMSAP2,KIF2A,0.42
CAMSAP2,CAMSAP1,0.539
TUBB2B,CAMSAP1,0.903
TUBB2B,KIF2A,0.946
TUBB2B,TUBA1A,0.997
TUBB2B,TUBA1B,0.998
MFHAS1,CAMSAP1,0.622
TUBA1B,CAMSAP1,0.907
TUBA1B,KIF2A,0.934
TUBA1B,TUBA1A,0.966
TUBA1B,TUBB,0.999
TUBB,CAMSAP1,0.907
SPTBN1,CAMSAP1,0.597
UBAC1,CAMSAP1,0.71
CAMSAP1,KIF2A,0.525
CAMSAP1,PRKAR1B,0.643
CAMSAP1,TUBA1A,0.904
KIF2A,TUBA1A,0.51
VAMP3,CAMTA1,0.66
CALM3,NPPA,0.519
CALM3,CAMTA1,0.765
CALM3,ANK2,0.859
CALML6,NPPA,0.513
CALML6,CAMTA1,0.595
CALML6,ANK2,0.828
CAMTA1,ANK2,0.542
CAMTA1,NPPA,0.579
CAMTA1,CALML4,0.595
CAMTA1,CALML5,0.596
CAMTA1,CALML3,0.597
CAMTA1,TFE3,0.714
CAMTA1,WWTR1,0.864
TFE3,WWTR1,0.639
CALML3,NPPA,0.518
CALML3,ANK2,0.841
ANK2,CALML4,0.828
ANK2,CALML5,0.841
NPPA,CALML5,0.518
NPPA,CALML4,0.518
NPPA,WWTR1,0.7
ATIC,RRM1,0.62
ATIC,ENTPD6,0.907
ATIC,ENTPD5,0.91
ATIC,ENTPD3,0.913
ATIC,ENTPD8,0.919
ATIC,ENTPD1,0.919
ATIC,CANT1,0.942
RRM2B,ENTPD8,0.914
RRM2B,ENTPD1,0.914
RRM2B,ENTPD5,0.915
RRM2B,ENTPD3,0.917
RRM2B,ENTPD6,0.918
RRM2B,CANT1,0.92
RRM2B,RRM1,0.999
RRM1,ADSS2,0.495
RRM1,UCKL1,0.583
RRM1,ENTPD6,0.916
RRM1,ENTPD5,0.918
RRM1,ENTPD1,0.919
RRM1,ENTPD3,0.923
RRM1,ENTPD8,0.923
RRM1,CANT1,0.924
ENTPD3,ENTPD8,0.91
ENTPD3,ADSS2,0.912
ENTPD3,UCKL1,0.915
ENTPD3,ENTPD1,0.917
ENTPD3,CANT1,0.938
ENTPD3,ENTPD5,0.948
ENTPD3,ENTPD6,0.952
CANT1,UCKL1,0.92
CANT1,ADSS2,0.925
CANT1,ENTPD1,0.925
CANT1,ENTPD5,0.929
CANT1,ENTPD8,0.937
CANT1,ENTPD6,0.942
ENTPD5,ENTPD6,0.911
ENTPD5,UCKL1,0.919
ENTPD5,ADSS2,0.925
ENTPD5,ENTPD8,0.939
ENTPD5,ENTPD1,0.946
UCKL1,ENTPD1,0.914
UCKL1,ENTPD8,0.919
UCKL1,ENTPD6,0.93
ADSS2,ENTPD8,0.903
ADSS2,ENTPD1,0.908
ADSS2,ENTPD6,0.92
ENTPD1,ENTPD8,0.909
ENTPD1,ENTPD6,0.953
ENTPD8,ENTPD6,0.942
CAP2,CFL2,0.71
CAP2,PFN4,0.73
CAP2,DBNL,0.796
CAP2,GRXCR1,0.829
CAP2,CAP1,0.836
CAP2,DBN1,0.847
CAP2,ACTG1,0.868
CAP2,ACTB,0.885
CAP2,TWF2,0.915
CAP2,CFL1,0.938
CFL2,DBNL,0.499
CFL2,CAP1,0.671
CFL2,DBN1,0.723
CFL2,TWF2,0.745
TWF2,DBNL,0.523
TWF2,ACTG1,0.566
TWF2,DBN1,0.571
TWF2,GRXCR1,0.587
TWF2,PFN4,0.759
TWF2,CFL1,0.76
TWF2,ACTB,0.772
TWF2,CAP1,0.918
PFN4,DBNL,0.487
PFN4,DBN1,0.758
PFN4,CAP1,0.849
CAP1,ACTG1,0.724
CAP1,GRXCR1,0.744
CAP1,DBN1,0.801
CAP1,DBNL,0.818
CAP1,ACTB,0.86
CAP1,CFL1,0.978
DBN1,ACTG1,0.498
DBN1,ACTB,0.678
DBN1,CFL1,0.734
GRXCR1,ACTG1,0.462
DBNL,ACTG1,0.471
DBNL,ACTB,0.489
DBNL,CFL1,0.621
IL1A,TP53,0.657
IL1A,CAPN2,0.912
IL1A,CAPN1,0.917
TP53,CDK5R1,0.798
TP53,CAPN2,0.924
TP53,CAPN1,0.938
BAX,CAPN2,0.912
BAX,CAPN1,0.916
CAPN2,CAPNS2,0.797
CAPN2,CDK5R1,0.914
CAPN2,BAK1,0.915
CAPN2,BID,0.938
CAPN2,CAPN1,0.978
CAPN2,CAPNS1,0.999
CAPN2,CAST,0.999
CDK5R1,CAPNS1,0.499
CDK5R1,CAPNS2,0.546
CDK5R1,CAST,0.583
CDK5R1,CAPN1,0.949
BID,CAPN1,0.918
BAK1,CAPN1,0.948
CAPNS2,CAPNS1,0.885
CAPNS2,CAPN1,0.923
CAPNS2,CAST,0.929
CAST,CAPNS1,0.995
CAST,CAPN1,0.999
CAPN1,CAPNS1,0.999
CAPN15,IQCE,0.488
CAPN15,RNF126,0.493
CAPN15,ZNF491,0.496
CAPN15,ZNF236,0.522
CAPN15,HERPUD1,0.53
CAPN15,EFCAB7,0.557
CAPN15,ZNF594,0.573
CAPN15,CAST,0.662
CAPN15,CAPNS2,0.675
CAPN15,CAPNS1,0.775
ZNF236,ZNF594,0.451
EFCAB7,IQCE,0.994
SGCG,TTN,0.63
SGCG,TRIM32,0.706
SGCG,TCAP,0.742
SGCG,CAPN3,0.853
SGCG,FLNC,0.947
TCAP,TRIM32,0.666
TCAP,DYSF,0.756
TCAP,FKRP,0.757
TCAP,MYPN,0.831
TCAP,CAPN3,0.855
TCAP,FLNC,0.88
FKRP,TTN,0.619
FKRP,TRIM32,0.863
FKRP,CAPN3,0.869
FLNC,DYSF,0.588
FLNC,MYPN,0.629
FLNC,TTN,0.837
FLNC,CAPN3,0.867
MYPN,TTN,0.802
MYPN,CAPN3,0.82
TRIM71,TRIM32,0.431
TRIM71,CAPN3,0.844
CAPN3,TRIM32,0.858
CAPN3,CAST,0.918
CAPN3,DYSF,0.985
CAPN3,TTN,0.998
DYSF,TRIM32,0.691
DYSF,TTN,0.784
TRIM32,TTN,0.543
CAST,TTN,0.451
CALM3,CAPNS1,0.552
CALM3,CAPN3,0.586
CALM3,CAPN5,0.598
CALML6,CAPNS1,0.519
CALML6,CAPN3,0.572
CALML6,CAPN5,0.602
CALML3,CAPNS1,0.52
CALML3,CAPN3,0.563
CALML3,CAPN5,0.601
CALML5,CAPNS1,0.52
CALML5,CAPN3,0.562
CALML5,CAPN5,0.601
CAPN3,CAPN5,0.556
CAPN3,CALML4,0.562
CAPN3,CAPNS2,0.657
CAPN3,CAPNS1,0.675
CAPNS2,CAPN5,0.834
CALML4,CAPNS1,0.519
CALML4,CAPN5,0.602
CAST,CAPN5,0.723
CAPNS1,CAPN5,0.934
CAPN5,CBLB,0.633
UQCRC1,CAPNS2,0.614
UQCRC1,CAPNS1,0.749
CAPN7,CAST,0.756
CAPN7,CAPNS2,0.82
CAPN7,CAPNS1,0.83
CAPN6,CAST,0.709
CAPN6,CAPNS2,0.836
CAPN6,CAPNS1,0.966
CAPN10,CAPNS2,0.659
CAPN10,CAST,0.747
CAPN10,CAPNS1,0.816
FXR2,TIA1,0.619
FXR2,TIAL1,0.664
FXR2,PABPC1,0.719
FXR2,G3BP2,0.732
FXR2,CAPRIN1,0.898
FXR2,G3BP1,0.906
FXR2,FMR1,0.995
FXR2,FXR1,0.999
NAT10,CAPRIN1,0.938
PABPC1,TIAL1,0.72
PABPC1,FMR1,0.751
PABPC1,FXR1,0.773
